pincode,state,district,latitude,longitude,School_Dropout_Risk_Index,Migrant_Hunger_Score,Village_Hollow_Out_Rate,Electoral_Discrepancy_Index,Skill_Gap_Migration_Flow,Governance_Risk_Score,Risk_Score,children_enrolled,adult_migration_volume,labor_activity,Primary_Sector_Concern
110001,Delhi,Central Delhi,28.6174167,77.2129167,27.659685729204444,31.95891654812749,47.32273669661369,28.37525540257359,39.69535036062131,34.05535353535353,50,176.0,2479.0,1698.0,Rural_Hollowing
110002,Delhi,Central Delhi,28.6284722,77.2445556,28.07306774846345,32.94556515073203,42.72847328288607,26.998340670062085,44.734030942024354,34.3096,50,505.0,3692.0,5119.0,Labor
110003,Delhi,Central Delhi,28.6317778,77.24025,32.29507302205662,33.524966679125406,45.165824372166725,33.37740548410372,44.48745920627898,37.180873786407766,50,870.0,2572.0,3900.0,Rural_Hollowing
110004,Delhi,Central Delhi,28.6210833,77.1961389,40.88709677419355,14.258642262442574,22.331809973917114,26.703076798858298,14.887623564930799,24.031935483870967,30,12.0,57.0,19.0,Education
110005,Delhi,Central Delhi,28.6535556,77.1918333,29.705279047577807,35.02673712681951,47.46419219746926,32.295107928939295,46.84654146629586,37.50941176470588,50,887.0,10404.0,8030.0,Rural_Hollowing
110006,Delhi,North Delhi,28.662197,77.235397,33.485349288696725,37.93973512003281,46.47653029421859,27.76628688794108,50.79683854191297,38.35819047619048,50,1149.0,17438.0,15966.0,Labor
110007,Delhi,North Delhi,28.6872778,77.1936111,30.284942409477516,37.41402587702832,48.52263539669293,28.114909222357994,49.843183999076274,37.81539215686274,100,939.0,14287.0,10591.0,Labor
110008,Delhi,Central Delhi,28.6453611,77.1729722,30.10427545259724,36.63441418276323,47.5581146235477,29.597665603905696,50.00350319403342,37.881960784313726,50,671.0,19817.0,12192.0,Labor
110009,Delhi,North West Delhi,28.698444,77.202111,31.10024814144093,34.68034161148709,44.54162863876102,29.33311565781431,45.136819776454274,36.19815533980582,50,478.0,6593.0,4624.0,Labor
110010,Delhi,South West Delhi,28.57,77.13,29.579674639086402,28.87452988797454,42.454716509962665,26.73928208463759,38.053308351675156,32.3547,50,200.0,1675.0,2717.0,Rural_Hollowing
110011,Delhi,Central Delhi,28.6108611,77.2148611,45.99603174603175,16.058872408673214,27.532099778404795,26.405887164817553,21.37585466114573,27.417261904761908,30,23.0,110.0,358.0,Education
110012,Delhi,Central Delhi,28.6320278,77.1484167,24.002899747311513,29.54053605547264,41.09776541438967,27.888818070420985,41.1786645217866,32.0811,50,233.0,3189.0,4286.0,Labor
110013,Delhi,South Delhi,28.5912222,77.2423333,29.954502593116455,25.624952670825902,37.40853186095064,28.30923443432948,32.650941095166466,30.334950495049505,30,172.0,800.0,1447.0,Rural_Hollowing
110014,Delhi,South Delhi,28.57,77.26,29.123713231346848,30.434358806213766,42.57935228588425,29.039049028635052,39.087551290631765,33.376122448979594,50,257.0,3209.0,2406.0,Rural_Hollowing
110015,Delhi,West Delhi,28.6541389,77.1356389,31.347731415196193,37.470989065769345,47.94526062398741,31.469092526960736,49.76770190390663,38.77686868686869,100,1002.0,11432.0,8422.0,Labor
110016,Delhi,South Delhi,28.5373056,77.1907222,31.17724867724868,29.49199487510765,43.83797296307848,27.485193740083947,36.087890207101175,32.799019607843135,50,277.0,1787.0,984.0,Rural_Hollowing
110017,Delhi,South Delhi,28.5346389,77.2016944,27.906500342069855,36.80724265396227,46.33731552704825,37.65236052956082,48.81934435630425,39.070882352941176,50,1997.0,10867.0,7324.0,Labor
110018,Delhi,West Delhi,24.867183,67.273615,33.63344109485828,36.377874577612666,46.88306614974947,49.747152765736566,48.94382811866972,43.260571428571424,100,3292.0,16063.0,13166.0,Electoral
110019,Delhi,South Delhi,28.5431667,77.2576667,30.886082575419643,38.6588346863917,49.80216921173871,30.398759285756725,50.20468077188879,39.019807692307694,50,860.0,17021.0,9472.0,Labor
110020,Delhi,South Delhi,28.52,77.29,28.542549937636142,32.154235306871236,41.406423002551975,28.063581585323266,43.03618554214645,33.97372549019608,30,499.0,2258.0,5199.0,Labor
110021,Delhi,New Delhi,28.583723,77.190064,32.30075262428203,29.3790700087704,45.431028267728955,29.481375490867748,37.67432327373788,34.05585858585859,50,235.0,1581.0,1940.0,Rural_Hollowing
110022,Delhi,South West Delhi,28.5615556,77.1792222,35.41319036950105,31.17621193175709,45.54215891978063,32.7137689369667,39.501994262590536,36.22834951456311,50,217.0,2991.0,2592.0,Rural_Hollowing
110023,Delhi,South West Delhi,28.5784167,77.20925,34.324851691518354,28.80700270726288,45.75760731718291,29.175866761439345,36.31281733023673,34.04636363636364,50,153.0,1910.0,1748.0,Rural_Hollowing
110024,Delhi,South Delhi,28.5631667,77.24875,24.837816562522445,29.002959034339373,42.22108006713397,30.487914142851338,37.25780493399848,32.174499999999995,50,324.0,1825.0,1538.0,Rural_Hollowing
110025,Delhi,South Delhi,28.5613611,77.2795833,32.70015127352612,41.61832846476531,49.97820220002307,37.243620737859764,54.102425683473115,42.49219047619048,50,1370.0,24654.0,13797.0,Labor
110026,Delhi,West Delhi,28.6678611,77.1434444,29.291523482245132,26.869419509551765,40.39751391405029,27.951122155485926,32.58122709467517,30.79618556701031,30,143.0,1262.0,1199.0,Rural_Hollowing
110027,Delhi,West Delhi,28.6455278,77.1274722,30.116541095671746,36.608198301882645,46.67949609210732,34.79515034600368,48.82287672986183,38.81088235294118,100,1297.0,12432.0,11836.0,Labor
110028,Delhi,South West Delhi,28.6305,77.1349167,29.85489818823152,30.022720717362773,45.31603726075046,26.718952224562212,38.814417249800805,33.215555555555554,50,171.0,2046.0,2347.0,Rural_Hollowing
110029,Delhi,South West Delhi,28.5664228,77.1998703,30.99303492440747,28.44717449711555,43.496444763325535,28.836877717726534,33.56334344589965,32.334545454545456,30,199.0,1236.0,908.0,Rural_Hollowing
110030,Delhi,South Delhi,28.5176111,77.17936109999998,29.386437924860946,36.94154304390552,46.459638341014845,33.469035140575784,49.43287817874716,38.488446601941746,50,1008.0,6021.0,8713.0,Labor
110031,Delhi,East Delhi,28.6606111,77.2664167,31.954901428836834,37.89916814502355,47.531901027703604,27.213993358707047,50.298568731275694,37.96356435643565,50,700.0,17737.0,11656.0,Labor
110032,Delhi,East Delhi,28.6806111,77.2859444,34.57760383525273,42.86832104571756,53.00115184592768,27.569875166604376,55.92426369169524,41.516699029126215,80,2330.0,14393.0,15452.0,Labor
110033,Delhi,North West Delhi,28.7271389,77.1749722,28.459152258154628,39.609720828685525,47.51684112058518,27.27559477089438,53.87954228126846,38.33615384615385,50,1325.0,38840.0,31566.0,Labor
110034,Delhi,North West Delhi,28.6972778,77.1269444,31.38841338375447,38.891170964910216,49.664768317994294,33.98068933252394,50.992076150757875,40.199411764705886,50,3377.0,27641.0,11565.0,Labor
110035,Delhi,North West Delhi,28.6921111,77.1578611,28.345394687012334,35.044240474351454,46.898620501414115,26.29214718368343,46.00034168055612,35.4865,50,383.0,7419.0,4802.0,Rural_Hollowing
110036,Delhi,North West Delhi,28.7978055,77.13,31.288246993286975,34.09963872462348,43.8050106683791,26.81417424669183,47.073537404323204,35.76656565656565,50,606.0,7017.0,9022.0,Labor
110037,Delhi,South West Delhi,28.54,77.12,32.35364157094531,35.52839529408156,47.03941766855762,34.4942366544111,46.52066708957588,38.55980582524272,70,1398.0,10524.0,5722.0,Rural_Hollowing
110038,Delhi,South West Delhi,28.52,77.09,29.50537634408602,22.358030489543836,38.42202794576154,25.950388626815286,28.188145722207558,28.261182795698925,50,63.0,1232.0,892.0,Rural_Hollowing
110039,Delhi,North West Delhi,28.7996944,77.0380555,31.450149995986944,34.990465640298964,42.39927290888713,32.077901250341185,48.79346204549546,37.426500000000004,50,1434.0,14710.0,16611.0,Labor
110040,Delhi,North West Delhi,28.8508055,77.0880555,33.281954422072936,35.425764565833774,44.44176279836267,36.94150157537897,47.28310434534773,39.1,70,2631.0,13810.0,9992.0,Labor
110041,Delhi,West Delhi,28.651181,77.059325,34.01147551225296,38.389810564224085,48.31388125730899,28.42436143142384,52.69856813975783,39.37349514563107,80,3021.0,36073.0,31819.0,Labor
110042,Delhi,North West Delhi,28.7441111,77.145,32.04444667492774,38.28685259974992,46.29431650948904,31.816923480364295,52.96137888062949,39.557281553398056,50,1830.0,28656.0,39838.0,Labor
110043,Delhi,Najafgarh,24.871535,86.207106,31.660005572249766,42.20311013938295,48.78145319049421,32.94360735762063,55.65100176613094,41.45615384615384,80,1963.0,37777.0,29960.0,Labor
110044,Delhi,South Delhi,28.51,77.26,30.146196644042263,37.68745411087725,43.65785700596756,32.24583046763972,51.76891997987862,38.53104761904762,80,2418.0,41290.0,36649.0,Labor
110045,Delhi,South West Delhi,28.609675,77.08954199999998,33.97602907601664,39.89418500774399,48.7058006020972,43.55699066878891,52.14075663756545,43.39721153846154,80,4243.0,32414.0,16666.0,Labor
110046,Delhi,South West Delhi,28.6110556,77.1029167,32.15500307076174,36.404239536140274,48.46341137081506,28.565212076604723,46.58174559603164,37.43922330097087,50,425.0,15936.0,9530.0,Rural_Hollowing
110047,Delhi,South Delhi,28.44,77.14,30.010300538440195,30.514207003389533,40.866735248089405,27.601982187498223,41.433461319278344,33.42247524752475,50,360.0,5288.0,8294.0,Labor
110048,Delhi,South Delhi,28.5376667,77.2381389,27.66527103648316,29.900915738957934,45.49911841346452,31.349451845406968,38.02618476554409,33.780707070707074,50,188.0,2116.0,1410.0,Rural_Hollowing
110049,Delhi,South Delhi,28.566209,77.217965,32.78159602398953,31.581413198145587,47.00629520305117,32.16238948931335,39.07679631505803,35.77949494949495,50,243.0,1681.0,1819.0,Rural_Hollowing
110051,Delhi,East Delhi,28.6453611,77.2871111,31.667846630685965,38.181553758908706,50.211049590493936,26.49174675808287,50.13944648584939,38.152621359223296,50,1165.0,17956.0,9412.0,Rural_Hollowing
110052,Delhi,North West Delhi,28.6726389,77.1811111,30.19590852672643,36.0875863415003,46.950273649847766,29.437762523197012,48.28179497743241,37.31539215686274,50,692.0,17167.0,13572.0,Labor
110053,Delhi,East Delhi,28.6871944,77.2633056,31.50241425667596,43.199447021379385,48.87530907318007,27.308359418404546,57.462889841492924,40.59180952380953,50,4265.0,22568.0,40924.0,Labor
110054,Delhi,North Delhi,28.6624167,77.2348333,30.218710099144882,29.43238418694738,41.12516428740666,28.378409456806953,39.378776703871225,33.06949494949495,50,389.0,1953.0,3427.0,Rural_Hollowing
