pincode,state,district,latitude,longitude,total_enrolment,total_demographic,total_biometric,spike_count,ever_influx_risk,ever_ghost_risk,mass_migration_days,max_risk_score,pincode_risk_level
110001,Delhi,Central Delhi,28.6174167,77.2129167,184.0,2820.0,3362.0,12,0,1,1,50,Medium
110002,Delhi,Central Delhi,28.6284722,77.2445556,509.0,4075.0,8932.0,10,1,0,1,50,Medium
110003,Delhi,Central Delhi,28.6317778,77.24025,963.0,2821.0,6912.0,10,1,0,1,50,Medium
110004,Delhi,Central Delhi,28.6210833,77.1961389,12.0,65.0,107.0,7,0,0,0,30,Medium
110005,Delhi,Central Delhi,28.6535556,77.1918333,941.0,11266.0,14107.0,8,1,1,2,50,Medium
110006,Delhi,North Delhi,28.662197,77.235397,1161.0,19215.0,27269.0,6,1,0,3,50,Medium
110007,Delhi,Central Delhi,28.6872778,77.1936111,957.0,15435.0,18235.0,8,1,0,4,100,Critical
110008,Delhi,Central Delhi,28.6453611,77.1729722,702.0,21923.0,21869.0,7,1,0,3,50,Medium
110009,Delhi,North West Delhi,28.698444,77.202111,493.0,7120.0,8104.0,10,1,0,3,50,Medium
110010,Delhi,South West Delhi,28.57,77.13,202.0,1882.0,4773.0,9,0,0,1,50,Medium
110011,Delhi,Central Delhi,28.6108611,77.2148611,24.0,129.0,533.0,7,0,0,0,30,Medium
110012,Delhi,Central Delhi,28.6320278,77.1484167,240.0,3524.0,7102.0,11,0,0,2,50,Medium
110013,Delhi,South Delhi,28.5912222,77.2423333,181.0,862.0,3054.0,13,1,0,0,30,Medium
110014,Delhi,South Delhi,28.57,77.26,280.0,3448.0,4816.0,10,0,0,2,50,Medium
110015,Delhi,West Delhi,28.6541389,77.1356389,1027.0,12633.0,14089.0,8,1,0,3,100,Critical
110016,Delhi,South Delhi,28.5373056,77.1907222,306.0,1943.0,2249.0,8,0,0,1,50,Medium
110017,Delhi,South Delhi,28.5346389,77.2016944,2166.0,11874.0,12631.0,9,1,0,2,50,Medium
110018,Delhi,West Delhi,24.867183,67.273615,3459.0,17606.0,22855.0,10,1,1,3,100,Critical
110019,Delhi,South Delhi,28.5431667,77.2576667,879.0,18644.0,17670.0,11,1,1,3,50,Medium
110020,Delhi,South Delhi,28.52,77.29,507.0,2473.0,9312.0,11,0,0,0,30,Medium
110021,Delhi,New Delhi,28.583723,77.190064,283.0,1834.0,3724.0,7,1,0,1,50,Medium
110022,Delhi,South West Delhi,28.5615556,77.1792222,231.0,3429.0,4774.0,13,1,0,2,50,Medium
110023,Delhi,South West Delhi,28.5784167,77.20925,166.0,2125.0,3032.0,8,1,1,1,50,Medium
110024,Delhi,South Delhi,28.5631667,77.24875,378.0,1952.0,2711.0,10,1,0,0,50,Medium
110025,Delhi,South Delhi,28.5613611,77.2795833,1384.0,27441.0,24762.0,8,1,1,4,50,Medium
110026,Delhi,West Delhi,28.6678611,77.1434444,153.0,1365.0,2138.0,12,0,0,0,30,Medium
110027,Delhi,West Delhi,28.6455278,77.1274722,1361.0,13617.0,18699.0,12,1,0,3,100,Critical
110028,Delhi,South West Delhi,28.6305,77.1349167,173.0,2252.0,4538.0,10,0,0,1,50,Medium
110029,Delhi,South Delhi,28.5664228,77.1998703,225.0,1324.0,1660.0,10,1,0,0,30,Medium
110030,Delhi,South Delhi,28.5176111,77.17936109999998,1059.0,6611.0,14540.0,9,1,0,2,50,Medium
110031,Delhi,East Delhi,28.6606111,77.2664167,706.0,20908.0,20507.0,9,0,0,4,50,Medium
110032,Delhi,East Delhi,28.6806111,77.2859444,2390.0,16601.0,26204.0,7,1,0,3,80,Critical
110033,Delhi,North West Delhi,28.7271389,77.1749722,1332.0,42915.0,50694.0,7,1,0,5,50,Medium
110034,Delhi,North West Delhi,28.6972778,77.1269444,3548.0,31540.0,22112.0,9,1,0,4,50,Medium
110035,Delhi,North West Delhi,28.6921111,77.1578611,384.0,8189.0,8215.0,8,0,0,4,50,Medium
110036,Delhi,North West Delhi,28.7978055,77.13,610.0,8435.0,16168.0,8,0,0,2,50,Medium
110037,Delhi,South West Delhi,28.54,77.12,1477.0,12569.0,12381.0,9,1,0,3,70,High
110038,Delhi,South West Delhi,28.52,77.09,63.0,1423.0,2020.0,7,0,0,1,50,Medium
110039,Delhi,North West Delhi,28.7996944,77.0380555,1482.0,17753.0,27871.0,7,1,0,4,50,Medium
110040,Delhi,North West Delhi,28.8508055,77.0880555,2758.0,17377.0,21883.0,11,1,0,3,70,High
110041,Delhi,West Delhi,28.651181,77.059325,3044.0,43376.0,52712.0,6,1,0,4,80,Critical
110042,Delhi,North West Delhi,28.7441111,77.145,1840.0,33313.0,63025.0,8,1,0,3,50,Medium
110043,Delhi,Najafgarh,24.871535,86.207106,1977.0,43233.0,52895.0,9,1,0,6,80,Critical
110044,Delhi,South Delhi,28.51,77.26,2430.0,47187.0,64193.0,7,1,0,6,80,Critical
110045,Delhi,South West Delhi,28.609675,77.08954199999998,4446.0,36160.0,30872.0,7,1,1,5,80,Critical
110046,Delhi,South West Delhi,28.6110556,77.1029167,432.0,17889.0,17305.0,12,1,0,4,50,Medium
110047,Delhi,South Delhi,28.44,77.14,364.0,6147.0,13397.0,11,0,0,3,50,Medium
110048,Delhi,South Delhi,28.5376667,77.2381389,236.0,2254.0,2505.0,8,0,0,1,50,Medium
110049,Delhi,South Delhi,28.566209,77.217965,254.0,1842.0,3324.0,10,1,0,0,50,Medium
110051,Delhi,East Delhi,28.6453611,77.2871111,1206.0,19931.0,16805.0,8,0,0,3,50,Medium
110052,Delhi,North West Delhi,28.6726389,77.1811111,697.0,18807.0,23268.0,10,1,1,3,50,Medium
110053,Delhi,East Delhi,28.6871944,77.2633056,4286.0,25823.0,66762.0,6,1,0,3,50,Medium
110054,Delhi,North Delhi,28.6624167,77.2348333,405.0,2198.0,6176.0,12,0,0,1,50,Medium
110055,Delhi,Central Delhi,28.6123,77.17,995.0,5987.0,8462.0,6,1,0,2,70,High
110056,Delhi,North West Delhi,28.6827222,77.1111111,49.0,274.0,835.0,9,0,0,0,30,Medium
110057,Delhi,South West Delhi,28.5578889,77.15575,245.0,2619.0,3529.0,10,1,0,2,50,Medium
110058,Delhi,West Delhi,28.6241111,77.0793611,234.0,2515.0,4487.0,10,0,0,0,30,Medium
110059,Delhi,West Delhi,28.637713,77.049026,14363.0,117304.0,86660.0,6,1,0,19,100,Critical
110060,Delhi,Central Delhi,28.6367222,77.1831111,66.0,734.0,911.0,11,0,0,0,30,Medium
110061,Delhi,South West Delhi,28.53285,77.05162,572.0,1802.0,3678.0,5,1,0,1,50,Medium
110062,Delhi,South Delhi,28.51,77.23,3539.0,51037.0,70440.0,9,1,0,4,100,Critical
110063,Delhi,West Delhi,28.6735833,77.1226111,494.0,18489.0,13127.0,10,1,0,5,50,Medium
110064,Delhi,South West Delhi,28.6287778,77.1226111,220.0,4053.0,5223.0,7,0,0,1,50,Medium
110065,Delhi,South Delhi,28.5593611,77.2568056,795.0,3404.0,6650.0,12,1,0,1,50,Medium
110066,Delhi,South West Delhi,28.5653056,77.17975,73.0,590.0,1275.0,9,1,0,0,30,Medium
110067,Delhi,South West Delhi,28.5550833,77.1762222,161.0,1335.0,2302.0,10,1,0,0,50,Medium
110068,Delhi,South Delhi,28.5012222,77.2003056,305.0,3881.0,4534.0,9,0,0,1,50,Medium
110069,Delhi,Central Delhi,28.6225833,77.2127222,0.0,0.0,1.0,0,0,0,0,0,No Risk
110070,Delhi,South West Delhi,28.534162,77.152685,682.0,6430.0,5173.0,9,1,0,2,50,Medium
110071,Delhi,South West Delhi,28.546186,76.990187,332.0,4115.0,6336.0,8,1,0,1,50,Medium
110072,Delhi,South West Delhi,28.652588,76.956454,113.0,1237.0,2079.0,14,0,0,1,50,Medium
110073,Delhi,South West Delhi,25.890679,83.367586,131.0,1000.0,3771.0,12,0,0,0,30,Medium
110074,Delhi,South Delhi,28.5073055,77.1845555,1109.0,13292.0,14345.0,6,1,0,4,50,Medium
110075,Delhi,South West Delhi,28.6068611,77.0415278,369.0,9860.0,5874.0,10,0,0,4,50,Medium
110076,Delhi,South Delhi,28.53,77.3,724.0,10712.0,17922.0,11,0,0,3,50,Medium
110077,Delhi,South West Delhi,28.5748056,77.0787222,759.0,12583.0,9684.0,6,1,0,3,50,Medium
110078,Delhi,South West Delhi,28.6102222,77.0376667,600.0,8091.0,8581.0,10,0,0,2,50,Medium
110080,Delhi,South Delhi,28.5,77.24,506.0,5288.0,4862.0,11,0,0,3,50,Medium
110081,Delhi,North West Delhi,28.7349166,77.0055555,813.0,5465.0,17551.0,17,0,0,1,80,Critical
110082,Delhi,North West Delhi,28.7721666,77.119,354.0,2411.0,7088.0,10,0,0,1,50,Medium
110083,Delhi,North West Delhi,28.7147778,77.0878333,563.0,9719.0,26375.0,10,0,0,2,50,Medium
110084,Delhi,North Delhi,28.722239,77.221819,1655.0,51879.0,36005.0,11,1,0,6,80,Critical
110085,Delhi,North West Delhi,28.7168889,77.1380556,3606.0,47145.0,41765.0,7,1,1,4,50,Medium
110086,Delhi,North West Delhi,28.7016111,77.0797222,3593.0,57325.0,72362.0,6,1,0,9,70,High
110087,Delhi,West Delhi,28.679745,77.092689,265.0,6961.0,7957.0,11,0,0,3,50,Medium
110088,Delhi,North West Delhi,28.6933611,77.17138889999998,523.0,9313.0,13983.0,14,1,0,3,50,Medium
110089,Delhi,North West Delhi,28.7348056,77.1325,280.0,4706.0,7944.0,8,0,0,2,50,Medium
110090,Delhi,North East Delhi,28.69225,77.3042222,13.0,81.0,89.0,7,0,0,0,30,Medium
110091,Delhi,East Delhi,28.6146944,77.3178056,3590.0,43079.0,41274.0,12,1,0,5,100,Critical
110092,Delhi,East Delhi,28.627,77.2850278,8506.0,66015.0,49098.0,9,1,0,7,80,Critical
110093,Delhi,North East,28.702185,77.30501,1868.0,31739.0,57984.0,10,0,0,4,50,Medium
110094,Delhi,North East,28.7039444,77.2833056,12227.0,105422.0,113022.0,11,1,0,17,100,Critical
110095,Delhi,East Delhi,28.6794722,77.3086944,1555.0,12712.0,23132.0,7,1,0,2,80,Critical
110096,Delhi,East Delhi,28.596722,77.312114,1100.0,33070.0,22000.0,9,1,0,4,50,Medium
121001,Haryana,Faridabad,28.3917778,77.3021389,4065.0,29047.0,27679.0,7,0,0,4,80,Critical
121002,Haryana,Faridabad,28.7080833,77.2719167,2021.0,16782.0,15071.0,7,0,0,3,50,Medium
121003,Haryana,Faridabad,28.463698,77.333878,1872.0,16326.0,15735.0,13,1,0,3,50,Medium
121004,Haryana,Faridabad,24.95972,75.593164,13019.0,69090.0,58351.0,8,1,1,13,100,Critical
121005,Haryana,Faridabad,28.3917778,77.3021389,964.0,19212.0,17705.0,8,0,0,4,50,Medium
121006,Haryana,Faridabad,28.3720518,77.3321204,287.0,3956.0,4969.0,8,0,0,2,50,Medium
121007,Haryana,Faridabad,28.395403,77.315292,124.0,1307.0,1849.0,13,0,0,0,30,Medium
121008,Haryana,Faridabad,28.3917778,77.3021389,79.0,1051.0,1590.0,9,0,0,0,30,Medium
121009,Haryana,Faridabad,28.4881111,77.2945833,158.0,1383.0,2778.0,8,0,0,0,30,Medium
121010,Haryana,Faridabad,28.5821389,77.9790278,112.0,1612.0,1367.0,8,1,0,1,80,Critical
121012,Haryana,Faridabad,28.3917778,77.3021389,11.0,178.0,186.0,8,0,0,0,30,Medium
121013,Haryana,Faridabad,28.3917778,77.3021389,175.0,1553.0,2876.0,9,0,0,0,30,Medium
121014,Haryana,Faridabad,28.4726,77.4848,6.0,75.0,17.0,3,0,0,0,30,Medium
121101,Haryana,Faridabad,28.379904,77.435774,418.0,5878.0,7685.0,9,1,0,5,50,Medium
121102,Haryana,Faridabad,28.1087,77.256172,2374.0,30649.0,35585.0,10,1,0,3,50,Medium
121103,Haryana,Palwal,28.0511,77.270687,1930.0,19049.0,19283.0,11,0,0,4,50,Medium
